condition,recall@90,r90_CI,recall@99,rank1_acc,retrieved@15,SIS_recall90,SIS_rank1,t_pvalue,cohens_d,mcnemar_p
FULL,0.0,"[0.0, 0.03]",0.0,0.101,0.404,,,,,
NO_GEO,0.0,"[0.0, 0.0]",0.0,0.0,0.313,0.0,100.0,0.0013,0.334,0.002
NO_PROF,0.0,"[0.0, 0.0]",0.0,0.0,0.424,0.0,100.0,0.0013,0.334,0.002
NO_DEMO,0.0,"[0.0, 0.0]",0.0,0.0,0.394,0.0,100.0,0.0013,0.334,0.002
NO_INT,0.0,"[0.0, 0.0]",0.0,0.0,0.374,0.0,100.0,0.0013,0.334,0.002
NO_VAL,0.0,"[0.0, 0.0]",0.0,0.0,0.384,0.0,100.0,0.0013,0.334,0.002
NO_STYLE,0.0,"[0.0, 0.0]",0.0,0.0,0.404,0.0,100.0,0.0013,0.334,0.002
