condition,recall@90,r90_CI,recall@99,rank1_acc,retrieved@15,SIS_recall90,SIS_rank1,t_pvalue,cohens_d,mcnemar_p
FULL,0.0,"[0.0, 0.013]",0.0,0.1899,0.43,,,,,
NO_GEO,0.0127,"[0.0, 0.038]",0.0127,0.1456,0.405,0.0,23.3,0.1085,0.128,0.1671
NO_PROF,0.0063,"[0.0, 0.019]",0.0063,0.2468,0.411,0.0,-30.0,0.0603,-0.151,0.0931
NO_DEMO,0.0063,"[0.0, 0.025]",0.0063,0.1962,0.424,0.0,-3.3,0.7641,-0.024,1.0
NO_INT,0.0,"[0.0, 0.0]",0.0,0.2342,0.386,0.0,-23.3,0.1946,-0.104,0.2649
NO_VAL,0.0063,"[0.0, 0.025]",0.0063,0.1456,0.38,0.0,23.3,0.1085,0.128,0.1671
NO_STYLE,0.0127,"[0.0, 0.032]",0.0127,0.1013,0.418,0.0,46.7,0.0004,0.289,0.0005
